Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|packed|legitimate
AlfaDirectSignSetup.exe|2581bdb0b2638221cfa3d76a50cb4201|332|224|290|14|28|372224|413696|0|219803|4096|376832|4194304|4096|512|5|1|10|0|5|1|802816|1024|809442|2|33088|1048576|8192|1048576|4096|0|16|5|5.244082571732553|3.3533845802968147|6.654496800129654|157184.0|5120|389120|157874.4|5484|388824|9|197|4|2|124|2.904721464861279|0.0|7.873985542615647|3076.314516129032|2|256630|188|0|1|1
VeraCrypt Setup 1.23-Hotfix-2.exe|baf29ede049936800a0e8b182b02c42c|332|224|258|10|0|407040|10547200|0|308747|4096|413696|4194304|4096|512|5|1|0|0|5|1|11255808|1024|35845576|2|33088|1048576|4096|1048576|4096|0|16|5|5.563543304105631|3.276696853083086|6.768153550529204|2190848.0|13312|10395648|2248323.6|53698|10395572|1|141|0|0|136|4.9827376446473695|0.35025197015793214|7.988020298483224|76386.53676470589|90|953384|72|0|1|1
703f021c710d363f3ff07058cd216883f3d6085db6ba3e54e0d834d69b3bd9a4.exe|2e06a6e9859f16f5d96fe2e07775ba20|332|224|271|6|0|27136|186880|2048|13613|4096|32768|4194304|4096|512|4|0|6|0|4|0|561152|1024|705584|2|34112|1048576|4096|1048576|4096|0|16|5|4.0903764136765215|0.0|6.458398214928006|39936.0|0|165376|109124.2|5286|176152|7|165|1|0|15|4.027131642921714|2.488246327849667|5.299340634842322|10967.2|96|67624|0|0|0|0
63aac8d58ef1ac0b0e6a09a43c749643f694d83e68aaf144e77675de198e339f.exe|cd27ed9263c228d853f4284b59051f62|332|224|271|6|0|27136|186880|2048|13613|4096|32768|4194304|4096|512|4|0|6|0|4|0|507904|1024|306856|2|34112|1048576|4096|1048576|4096|0|16|5|4.347757741704288|0.0|6.458398214928006|36147.2|0|146432|98692.2|5286|176152|7|165|1|0|13|4.16447493434739|2.488246327849667|7.990165572115252|11169.461538461539|90|67624|0|0|0|0
7dabe14897ddff2206ab44a43f56872ff90e1fb72bd336fce92473adbf2ccb4a.exe|ee6bc84f76ac7603042e03768e1a9234|332|224|258|11|0|1281536|2048|0|1289550|8192|1294336|4194304|8192|512|4|0|0|0|4|0|1310720|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.859783604991797|0.10191042566270775|7.784878744232042|427861.3333333333|512|1281536|427536.0|12|1281364|1|1|0|0|2|4.068470913330671|3.1358250129861562|5.0011168136751865|531.0|490|572|0|0|1|0
999e8466a0d2f8e3650f0cd45e11e5601068569bd4e912b057634a21e590051c.exe|eaced76d5215ebc207f63522c4dc2d95|332|224|258|8|0|28160|271360|0|36238|8192|0|4194304|8192|512|4|0|0|0|4|0|327680|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.5977143714227497|0.08153941234324169|6.072415839359827|99840.0|512|270848|99540.0|12|270556|1|1|0|0|2|3.0248740413997126|1.419035274338866|4.63071280846056|135198.0|20|270376|0|0|1|0
feeef09549843be4f250bb38eec930345e6b0d250d3e6602359297401735813c.exe|ab0169e7cab801d08aa3a723a3500678|332|224|258|80|0|690176|172544|0|697982|8192|704512|4194304|8192|512|4|0|0|0|4|0|884736|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.9875415866299417|0.10191042566270775|7.215761991533455|287573.3333333333|512|690176|287221.3333333333|12|689796|1|1|0|0|12|4.542767727558128|2.5468310972900126|7.89681816709696|14263.333333333334|132|67624|0|0|1|0
55cd3cba88631fb115cc00b71a33ef3821379ac2a25c060e2bd33da0e60e5714.exe|97deffea3b65e3ae7992e3a659dc9f58|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604203529502879|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
db54f1ba3c63ba88583f915a8f97f9da3f0029d80440c02135d1669909d18791.exe|14e55b06d6fb7fcdcd25a6c3501ef273|332|224|258|48|0|475771|1428|0|483957|8192|491520|4194304|8192|512|4|0|0|0|4|0|507904|512|0|3|34144|1048576|4096|1048576|4096|0|16|3|3.718475663350644|0.10191042566270775|7.800178617588996|159402.66666666666|512|476160|159066.33333333334|12|475771|1|1|0|0|1|3.532637853701352|3.532637853701352|3.532637853701352|1328.0|1328|1328|0|0|1|0
2de305d7fcaa9ba0db34a1d9b7d1e40dd6c5b0a9a306ce5be2f5927e89c2ad94.exe|9c29d60fa121e674a3cbf38da2de0e54|332|224|258|48|0|5632|167424|0|13438|8192|0|4194304|8192|512|4|0|0|0|6|0|196608|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|2.784370124617377|0.08153941234324169|5.304859961846385|57685.333333333336|512|166912|57392.0|12|166912|1|1|0|0|12|3.5057512856225714|2.1949907873962298|7.524913746410776|13849.666666666666|132|67624|0|0|1|0
